school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,G1.y,G2.y,G3.y
GP,M,18,R,LE3,A,3,4,other,other,reputation,yes,yes,mother,2,2,0,no,yes,no,yes,yes,no,4,2,5,3,4,1,6,C,D,D,15,16,16
GP,M,18,U,GT3,T,4,2,teacher,other,home,yes,yes,mother,1,2,0,no,yes,no,yes,yes,yes,4,3,2,1,4,5,2,C,D,D,15,16,16
MS,F,17,U,LE3,A,3,2,services,other,reputation,yes,no,mother,2,2,0,no,no,no,no,yes,yes,1,2,3,1,2,5,0,C,C,C,15,14,15
MS,F,17,U,LE3,T,4,4,at_home,at_home,course,yes,yes,mother,1,2,0,no,yes,no,yes,yes,yes,2,3,4,1,1,1,4,C,C,C,15,14,15
MS,F,18,R,LE3,T,4,4,other,other,reputation,yes,yes,mother,2,3,0,no,no,no,no,yes,no,5,4,4,1,1,1,0,C,D,D,15,17,17
MS,F,18,U,LE3,T,3,1,teacher,services,course,yes,yes,mother,1,2,0,no,yes,no,no,yes,no,4,3,4,1,1,1,4,C,C,D,15,15,16
MS,M,18,U,LE3,T,4,4,teacher,services,other,yes,yes,mother,2,3,0,no,no,no,no,yes,yes,4,2,2,2,2,5,0,C,D,D,15,16,16
GP,F,15,U,LE3,T,4,2,health,other,other,yes,yes,mother,1,2,0,no,yes,no,no,yes,no,4,3,3,1,1,5,0,D,C,D,16,14,16
GP,F,16,U,GT3,T,4,2,services,other,course,yes,yes,mother,1,2,0,no,yes,yes,no,yes,no,4,2,3,1,1,5,2,D,C,D,16,15,16
GP,F,16,U,GT3,T,4,4,health,health,reputation,yes,yes,mother,1,2,0,no,yes,no,no,yes,yes,4,4,2,1,1,3,0,D,D,D,16,16,17
GP,F,16,U,LE3,T,4,3,teacher,services,course,yes,yes,mother,3,2,0,no,yes,no,yes,yes,no,5,4,3,1,2,1,2,D,C,D,16,15,16
GP,F,17,U,GT3,T,4,2,other,other,reputation,yes,yes,mother,2,3,0,no,yes,no,no,yes,no,4,3,3,1,1,3,0,D,D,D,16,16,16
GP,F,18,U,GT3,T,2,3,other,services,reputation,yes,yes,father,1,4,0,no,yes,no,yes,yes,yes,4,5,5,1,3,2,10,D,D,D,16,16,16
GP,F,18,U,GT3,T,4,3,other,other,reputation,yes,yes,father,1,4,0,no,yes,no,no,yes,no,4,3,3,1,1,3,0,D,D,D,16,17,17
GP,M,15,U,GT3,A,3,4,services,other,course,yes,yes,mother,1,2,0,no,yes,no,yes,yes,no,5,4,4,1,1,1,0,D,D,D,16,16,16
GP,M,15,U,GT3,T,4,4,other,teacher,reputation,yes,no,father,2,2,0,no,yes,no,yes,yes,no,4,4,3,1,1,2,4,D,C,D,16,15,16
GP,M,16,U,GT3,T,1,0,other,other,reputation,yes,yes,mother,2,2,0,no,yes,no,yes,yes,yes,4,3,2,1,1,3,0,D,D,D,16,17,18
GP,M,16,U,GT3,T,4,4,services,teacher,other,yes,yes,father,1,3,0,no,yes,no,yes,yes,yes,4,4,3,1,1,4,0,D,D,D,16,16,16
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,yes,yes,father,1,2,0,no,yes,no,yes,yes,no,5,4,4,1,2,5,6,D,C,C,16,14,14
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,yes,yes,father,1,2,0,no,yes,no,yes,yes,no,5,4,4,1,2,5,6,D,C,C,16,14,14
GP,M,17,R,GT3,T,1,2,at_home,at_home,home,no,no,mother,1,2,0,no,yes,no,yes,yes,yes,3,5,2,2,2,1,2,D,D,D,16,17,18
GP,M,17,U,LE3,T,2,2,other,other,home,no,yes,father,1,2,0,no,no,no,yes,yes,yes,4,4,2,5,5,4,0,D,D,D,16,16,16
GP,M,18,U,GT3,T,2,1,other,other,home,yes,yes,mother,1,2,0,no,no,no,yes,yes,no,5,2,4,1,2,4,2,D,D,D,16,16,16
GP,M,18,U,LE3,T,3,4,services,other,home,yes,yes,mother,1,2,0,no,no,no,yes,yes,yes,4,3,3,1,3,5,6,D,D,D,16,16,17
MS,F,18,U,GT3,T,3,3,other,other,home,yes,yes,mother,1,2,0,no,no,no,no,yes,yes,4,1,3,1,2,1,1,D,D,D,16,16,16
GP,F,16,R,GT3,T,4,4,health,teacher,other,yes,no,mother,1,2,0,no,yes,no,yes,yes,no,2,4,4,2,3,4,0,D,D,D,17,16,16
GP,F,16,U,GT3,T,4,2,health,services,home,yes,yes,father,1,2,0,no,no,no,no,yes,yes,4,2,3,1,1,3,0,D,D,D,17,17,18
GP,F,16,U,GT3,T,4,4,health,other,home,yes,yes,mother,1,1,0,no,yes,no,no,yes,no,4,4,4,1,2,2,6,D,D,D,17,17,17
GP,F,17,U,GT3,T,2,4,services,services,reputation,yes,no,father,1,2,0,no,yes,no,yes,yes,no,5,4,2,2,3,5,0,D,D,D,17,18,17
GP,F,17,U,GT3,T,3,1,services,services,course,no,yes,father,1,3,0,no,yes,no,no,yes,no,3,4,3,2,3,5,0,D,D,D,17,18,17
GP,F,17,U,GT3,T,3,2,other,other,course,no,yes,mother,1,2,0,no,no,no,yes,yes,no,5,3,4,1,3,3,2,D,D,D,17,18,17
GP,F,17,U,GT3,T,4,3,health,services,reputation,yes,yes,mother,1,3,0,no,yes,no,no,yes,no,4,2,2,1,2,3,0,D,D,D,17,18,18
GP,F,18,R,LE3,T,1,1,at_home,other,reputation,yes,no,mother,2,4,0,no,yes,no,yes,yes,no,5,2,2,1,1,3,2,D,D,D,17,17,18
GP,M,16,U,GT3,T,4,3,health,services,reputation,yes,yes,mother,1,4,0,no,no,no,yes,yes,no,4,2,2,1,1,2,2,D,D,D,17,17,17
GP,M,17,U,GT3,T,3,3,other,services,reputation,no,yes,mother,1,1,0,no,no,no,yes,yes,no,4,3,5,3,5,5,0,D,D,D,17,18,17
GP,M,18,U,LE3,A,4,4,teacher,teacher,reputation,yes,yes,mother,1,2,0,no,yes,no,yes,yes,no,5,4,3,1,1,2,0,D,D,D,17,17,17
MS,M,18,U,GT3,T,4,4,teacher,teacher,home,no,yes,father,1,2,0,no,no,no,yes,yes,no,3,2,4,1,4,2,4,D,D,D,17,18,19
GP,F,17,R,LE3,T,3,1,services,other,reputation,yes,no,mother,2,4,0,no,yes,no,no,yes,no,3,1,2,1,1,3,0,D,D,D,18,19,19
GP,F,17,U,GT3,T,3,2,health,health,reputation,no,yes,father,1,4,0,no,yes,no,yes,yes,no,5,2,2,1,2,5,0,D,D,D,18,18,18
GP,F,18,U,GT3,T,2,2,at_home,at_home,other,yes,yes,mother,1,3,0,no,yes,no,no,yes,no,4,3,3,1,2,2,0,D,D,D,18,18,18
GP,M,15,U,LE3,T,4,2,teacher,other,course,yes,yes,mother,1,1,0,no,no,no,no,yes,no,3,5,2,1,1,3,10,D,D,D,18,17,18
GP,M,18,U,LE3,T,4,4,teacher,teacher,home,yes,yes,mother,1,1,0,no,yes,no,no,yes,yes,1,4,2,2,2,1,0,D,D,D,18,18,17
MS,F,18,U,LE3,T,1,1,at_home,services,course,yes,yes,father,2,3,0,no,no,no,no,yes,no,5,3,2,1,1,4,0,D,D,D,19,17,18
